Occupation Field,Municipality,Skill,Count
"Försäljning, inköp, marknadsföring",Stockholm,försäljning,21040
"Försäljning, inköp, marknadsföring",Stockholm,svenska,20987
"Försäljning, inköp, marknadsföring",Stockholm,engelska,11242
"Försäljning, inköp, marknadsföring",Stockholm,b2b,6121
"Försäljning, inköp, marknadsföring",Stockholm,körkort,5079
"Försäljning, inköp, marknadsföring",Stockholm,kundservice,3687
"Försäljning, inköp, marknadsföring",Stockholm,verktyg,3367
"Försäljning, inköp, marknadsföring",Stockholm,kundrelationer,3112
"Försäljning, inköp, marknadsföring",Stockholm,sales,3000
"Försäljning, inköp, marknadsföring",Stockholm,microsoft office,2522
"Installation, drift, underhåll",Västervik,körkort,43
"Installation, drift, underhåll",Västervik,arbetslivserfarenhet,20
"Installation, drift, underhåll",Västervik,reparation,14
"Installation, drift, underhåll",Västervik,el,13
"Installation, drift, underhåll",Västervik,svenska,13
"Installation, drift, underhåll",Västervik,fastigheter,13
"Installation, drift, underhåll",Västervik,gymnasieutbildning,12
"Installation, drift, underhåll",Västervik,teknik,12
"Installation, drift, underhåll",Västervik,reservdelar,11
"Installation, drift, underhåll",Västervik,felsökning,11
"Installation, drift, underhåll",Mölndal,svenska,265
"Installation, drift, underhåll",Mölndal,engelska,183
"Installation, drift, underhåll",Mölndal,körkort,175
"Installation, drift, underhåll",Mölndal,el,119
"Installation, drift, underhåll",Mölndal,felsökning,102
"Installation, drift, underhåll",Mölndal,reparation,97
"Installation, drift, underhåll",Mölndal,tunga fordon,42
"Installation, drift, underhåll",Mölndal,montering,42
"Installation, drift, underhåll",Mölndal,utrustning,41
"Installation, drift, underhåll",Mölndal,reparationsarbeten,39
"Hotell, restaurang, storhushåll",Sollentuna,svenska,57
"Hotell, restaurang, storhushåll",Sollentuna,mat,38
"Hotell, restaurang, storhushåll",Sollentuna,engelska,22
"Hotell, restaurang, storhushåll",Sollentuna,restaurang,19
"Hotell, restaurang, storhushåll",Sollentuna,hotell,17
"Hotell, restaurang, storhushåll",Sollentuna,personuppgifter,17
"Hotell, restaurang, storhushåll",Sollentuna,beställningar,17
"Hotell, restaurang, storhushåll",Sollentuna,specialkost,17
"Hotell, restaurang, storhushåll",Sollentuna,kök,17
"Hotell, restaurang, storhushåll",Sollentuna,egenkontroll,17
"Administration, ekonomi, juridik",Eskilstuna,svenska,425
"Administration, ekonomi, juridik",Eskilstuna,engelska,214
"Administration, ekonomi, juridik",Eskilstuna,microsoft office,151
"Administration, ekonomi, juridik",Eskilstuna,arbetslivserfarenhet,144
"Administration, ekonomi, juridik",Eskilstuna,ekonomi,137
"Administration, ekonomi, juridik",Eskilstuna,vägledning,131
"Administration, ekonomi, juridik",Eskilstuna,körkort,87
"Administration, ekonomi, juridik",Eskilstuna,högskoleutbildning,83
"Administration, ekonomi, juridik",Eskilstuna,administrativa uppgifter,79
"Administration, ekonomi, juridik",Eskilstuna,administration,69
"Hotell, restaurang, storhushåll",Västerås,mat,133
"Hotell, restaurang, storhushåll",Västerås,svenska,126
"Hotell, restaurang, storhushåll",Västerås,restaurang,88
"Hotell, restaurang, storhushåll",Västerås,kök,83
"Hotell, restaurang, storhushåll",Västerås,matlagning,74
"Hotell, restaurang, storhushåll",Västerås,engelska,50
"Hotell, restaurang, storhushåll",Västerås,bar,50
"Hotell, restaurang, storhushåll",Västerås,servering,49
"Hotell, restaurang, storhushåll",Västerås,beställningar,41
"Hotell, restaurang, storhushåll",Västerås,dryck,41
"Installation, drift, underhåll",Eskilstuna,svenska,389
"Installation, drift, underhåll",Eskilstuna,engelska,354
"Installation, drift, underhåll",Eskilstuna,reparation,286
"Installation, drift, underhåll",Eskilstuna,körkort,280
"Installation, drift, underhåll",Eskilstuna,dokumentation,177
"Installation, drift, underhåll",Eskilstuna,automation,159
"Installation, drift, underhåll",Eskilstuna,gymnasieutbildning,119
"Installation, drift, underhåll",Eskilstuna,teknik,117
"Installation, drift, underhåll",Eskilstuna,industri,115
"Installation, drift, underhåll",Eskilstuna,design,114
"Installation, drift, underhåll",Sundbyberg,svenska,125
"Installation, drift, underhåll",Sundbyberg,körkort,99
"Installation, drift, underhåll",Sundbyberg,engelska,58
"Installation, drift, underhåll",Sundbyberg,reparation,55
"Installation, drift, underhåll",Sundbyberg,arbetslivserfarenhet,49
"Installation, drift, underhåll",Sundbyberg,felsökning,40
"Installation, drift, underhåll",Sundbyberg,it-kunskaper,28
"Installation, drift, underhåll",Sundbyberg,arbetsredskap,27
"Installation, drift, underhåll",Sundbyberg,microsoft office,26
"Installation, drift, underhåll",Sundbyberg,bilen,24
Hälso- och sjukvård,Stockholm,svenska,5715
Hälso- och sjukvård,Stockholm,personuppgifter,2778
Hälso- och sjukvård,Stockholm,sjukvård,2418
Hälso- och sjukvård,Stockholm,omvårdnad,1512
Hälso- och sjukvård,Stockholm,yrkeslegitimation,1449
Hälso- och sjukvård,Stockholm,registerkontroll,1446
Hälso- och sjukvård,Stockholm,körkort,1409
Hälso- och sjukvård,Stockholm,behandling,1225
Hälso- och sjukvård,Stockholm,psykiatri,1159
Hälso- och sjukvård,Stockholm,dokumentation,1061
"Administration, ekonomi, juridik",Stockholm,svenska,13747
"Administration, ekonomi, juridik",Stockholm,engelska,10281
"Administration, ekonomi, juridik",Stockholm,ekonomi,5356
"Administration, ekonomi, juridik",Stockholm,microsoft office,4569
"Administration, ekonomi, juridik",Stockholm,excel,3575
"Administration, ekonomi, juridik",Stockholm,arbetslivserfarenhet,3534
"Administration, ekonomi, juridik",Stockholm,administration,3314
"Administration, ekonomi, juridik",Stockholm,redovisning,2578
"Administration, ekonomi, juridik",Stockholm,administrativa uppgifter,2372
"Administration, ekonomi, juridik",Stockholm,rekrytering,1785
Hälso- och sjukvård,Lund,svenska,1949
Hälso- och sjukvård,Lund,sjukvård,1472
Hälso- och sjukvård,Lund,konsultchefer,1227
Hälso- och sjukvård,Lund,vårderfarenhet,1227
Hälso- och sjukvård,Lund,språkkunskaper,1099
Hälso- och sjukvård,Lund,arbetslivserfarenhet,464
Hälso- och sjukvård,Lund,omvårdnad,450
Hälso- och sjukvård,Lund,specialistutbildning,421
Hälso- och sjukvård,Lund,journalsystem,395
Hälso- och sjukvård,Lund,akutsjukvård,394
Hälso- och sjukvård,Borås,hemsjukvård,490
Hälso- och sjukvård,Borås,svenska,465
Hälso- och sjukvård,Borås,verktyg,451
Hälso- och sjukvård,Borås,sjukvård,341
Hälso- och sjukvård,Borås,behandling,244
Hälso- och sjukvård,Borås,körkort,191
