Occupation Field,Skill,Count
"Försäljning, inköp, marknadsföring",svenska,43594
"Försäljning, inköp, marknadsföring",försäljning,41958
"Försäljning, inköp, marknadsföring",engelska,23925
"Försäljning, inköp, marknadsföring",körkort,18765
"Försäljning, inköp, marknadsföring",kundservice,9563
"Försäljning, inköp, marknadsföring",butik,7982
"Försäljning, inköp, marknadsföring",egen bil,7466
"Försäljning, inköp, marknadsföring",coachning,6808
"Försäljning, inköp, marknadsföring",personlig utveckling,6729
"Försäljning, inköp, marknadsföring",verktyg,6478
"Hotell, restaurang, storhushåll",svenska,10190
"Hotell, restaurang, storhushåll",mat,7432
"Hotell, restaurang, storhushåll",engelska,5860
"Hotell, restaurang, storhushåll",restaurang,5834
"Hotell, restaurang, storhushåll",kök,4151
"Hotell, restaurang, storhushåll",servering,3705
"Hotell, restaurang, storhushåll",matlagning,3208
"Hotell, restaurang, storhushåll",kassaarbete,2720
"Hotell, restaurang, storhushåll",körkort,2375
"Hotell, restaurang, storhushåll",dryck,2264
"Administration, ekonomi, juridik",svenska,32602
"Administration, ekonomi, juridik",engelska,24023
"Administration, ekonomi, juridik",ekonomi,13966
"Administration, ekonomi, juridik",administration,12173
"Administration, ekonomi, juridik",microsoft office,11709
"Administration, ekonomi, juridik",excel,9849
"Administration, ekonomi, juridik",administrativa uppgifter,8453
"Administration, ekonomi, juridik",redovisning,7979
"Administration, ekonomi, juridik",arbetslivserfarenhet,7913
"Administration, ekonomi, juridik",högskoleutbildning,6523
Socialt arbete,körkort,14659
Socialt arbete,svenska,13191
Socialt arbete,barn,11685
Socialt arbete,sjukvård,5917
Socialt arbete,assistans,5361
Socialt arbete,omsorg,4990
Socialt arbete,dokumentation,4629
Socialt arbete,insatser,4590
Socialt arbete,funktionsnedsättning,4333
Socialt arbete,kommunikation,4167
Chefer och verksamhetsledare,ledarskap,8935
Chefer och verksamhetsledare,svenska,8007
Chefer och verksamhetsledare,personalansvar,7425
Chefer och verksamhetsledare,engelska,5875
Chefer och verksamhetsledare,ekonomi,5747
Chefer och verksamhetsledare,högskoleutbildning,4529
Chefer och verksamhetsledare,körkort,4366
Chefer och verksamhetsledare,försäljning,3863
Chefer och verksamhetsledare,arbetsmiljö,3358
Chefer och verksamhetsledare,budget,3170
Pedagogiskt arbete,undervisning,25469
Pedagogiskt arbete,barn,16443
Pedagogiskt arbete,svenska,15612
Pedagogiskt arbete,styrdokument,9483
Pedagogiskt arbete,förskola,9356
Pedagogiskt arbete,engelska,8686
Pedagogiskt arbete,lärarlegitimation,8598
Pedagogiskt arbete,verktyg,6399
Pedagogiskt arbete,matematik,5839
Pedagogiskt arbete,forskning,5607
Transport,svenska,12246
Transport,körkort,9660
Transport,truckkort,8563
Transport,lager,7061
Transport,engelska,4049
Transport,truckkörning,3990
Transport,ykb,3422
Transport,truck,2611
Transport,god fysik,2598
Transport,gymnasieutbildning,2471
"Installation, drift, underhåll",körkort,11669
"Installation, drift, underhåll",svenska,9553
"Installation, drift, underhåll",reparation,6059
"Installation, drift, underhåll",engelska,5685
"Installation, drift, underhåll",el,4667
"Installation, drift, underhåll",felsökning,4309
"Installation, drift, underhåll",datorvana,3419
"Installation, drift, underhåll",teknik,3218
"Installation, drift, underhåll",gymnasieutbildning,3058
"Installation, drift, underhåll",arbetslivserfarenhet,2113
Data/IT,svenska,17756
Data/IT,engelska,16088
Data/IT,design,6768
Data/IT,teknik,6647
Data/IT,java,5608
Data/IT,data,5155
Data/IT,javascript,4936
Data/IT,c#,4714
Data/IT,arbetslivserfarenhet,4504
Data/IT,linux,4310
Bygg och anläggning,körkort,8662
Bygg och anläggning,svenska,7392
Bygg och anläggning,engelska,3276
Bygg och anläggning,anläggning,1993
Bygg och anläggning,arbetslivserfarenhet,1795
Bygg och anläggning,byggbranschen,1753
Bygg och anläggning,projektledning,1705
Bygg och anläggning,yrkesbevis,1408
Bygg och anläggning,teknik,1386
Bygg och anläggning,projektering,1256
Tekniskt arbete,svenska,12066
Tekniskt arbete,engelska,11218
Tekniskt arbete,körkort,5221
Tekniskt arbete,teknik,3802
Tekniskt arbete,arbetslivserfarenhet,3175
Tekniskt arbete,design,2844
Tekniskt arbete,konstruktion,2512
Tekniskt arbete,automation,2280
Tekniskt arbete,microsoft office,2187
Tekniskt arbete,projektledning,2146
Sanering och renhållning,svenska,5047
Sanering och renhållning,körkort,4633
Sanering och renhållning,barnpassning,3967
Sanering och renhållning,barn,3837
Sanering och renhållning,städning,2643
Sanering och renhållning,förskola,2589
Sanering och renhållning,engelska,1858
Sanering och renhållning,lokalvård,1822
Sanering och renhållning,hemstädning,989
Sanering och renhållning,mat,935
Industriell tillverkning,svenska,7408
Industriell tillverkning,körkort,7364
Industriell tillverkning,truckkort,4496
